category_list,status,country_code,funding_rounds,founded_year,success,startup_age,primary_industry
|Software|,operating,BRA,1.0,2003.0,0,23,
|Semiconductors|,operating,ISR,1.0,2003.0,0,23,
|Internet|Digital Media|Software|,operating,USA,1.0,1999.0,0,27,
|Internet of Things|Software|,operating,USA,1.0,2011.0,0,15,
|Photography|,operating,,1.0,2014.0,0,12,
|Brand Marketing|Advertising|Photography|Digital Media|B2B|Sales and Marketing|Social Media|,operating,USA,1.0,2012.0,0,14,
|Publishing|Digital Media|Social Games|,operating,USA,1.0,2014.0,0,12,
|Social Games|Games|,operating,RUS,2.0,2009.0,0,17,
|Photography|Curated Web|,operating,USA,2.0,2011.0,0,15,
|Games|,operating,USA,4.0,2011.0,0,15,
|Mobile|,operating,ISR,1.0,2012.0,0,14,
|Mobile|,operating,USA,2.0,2003.0,0,23,
|Media|Internet|Algorithms|,operating,USA,2.0,2010.0,0,16,
|Search|,operating,GBR,2.0,2010.0,0,16,
|E-Commerce|,operating,JPN,1.0,2005.0,0,21,
|Photography|,operating,USA,2.0,2012.0,0,14,
|Displays|Hardware + Software|,acquired,USA,6.0,2005.0,1,21,
|Curated Web|,operating,GBR,1.0,2006.0,0,20,
|Clean Technology|,operating,USA,1.0,2009.0,0,17,
|Mobile|,operating,USA,2.0,2005.0,0,21,
|Mobile|,operating,USA,3.0,2011.0,0,15,
|Real Estate|,operating,GBR,1.0,2009.0,0,17,
|Events|E-Commerce|,operating,USA,1.0,2011.0,0,15,
|Data Mining|Data Visualization|Big Data|Curated Web|,operating,LTU,2.0,2012.0,0,14,
|Big Data|Advertising|Information Technology|Mobile|,operating,USA,4.0,2010.0,0,16,
|Mobile|,closed,CAN,1.0,2011.0,0,15,
|Travel|,operating,USA,1.0,2007.0,0,19,
|Digital Media|CRM|Advertising Platforms|Enterprise Software|SaaS|Advertising|,operating,,1.0,2013.0,0,13,
|Finance|Local|Mobile|Big Data|Internet of Things|Analytics|,operating,USA,4.0,2012.0,0,14,
|Social Media|,operating,CAN,1.0,2010.0,0,16,
|Ticketing|Sports|,operating,USA,1.0,2009.0,0,17,
